id,case_id,party_number,victim_role,victim_sex,victim_age,victim_degree_of_injury,victim_seating_position,victim_ejected
2610063,6292432,2,1,male,46,killed,1,1
2610064,6292432,3,1,male,41,other visible injury,1,0
2610096,6292445,1,1,male,26,severe injury,1,1
2610097,6292445,2,3,,19,other visible injury,9,3
2610098,6292445,3,3,male,39,killed,9,3
2610102,6292448,1,1,male,57,killed,1,1
2610117,6292456,1,1,male,51,killed,1,1
2610122,6292458,1,1,male,28,killed,1,1
2610132,6292464,1,1,male,26,severe injury,1,0
2610133,6292464,2,1,male,57,killed,1,1
2610157,6292475,1,1,male,66,other visible injury,1,0
2610158,6292475,2,1,male,32,killed,1,1
2610165,6292479,1,1,male,24,killed,1,1
2610185,6292486,1,1,male,45,killed,1,1
2610205,6292494,1,1,male,60,killed,1,1
2610206,6292494,2,1,male,68,severe injury,1,1
2610207,6292496,1,1,male,24,killed,1,1
2610209,6292498,1,1,male,73,killed,1,1
2610210,6292498,2,2,male,13,no injury,3,0
2610211,6292498,2,2,female,10,no injury,5,0
2610219,6292504,1,1,male,51,killed,1,1
2610244,6292522,1,1,male,29,killed,1,1
2610251,6292525,1,2,female,21,killed,2,1
2610252,6292525,1,1,male,32,severe injury,1,0
2610262,6292530,1,1,male,49,killed,1,0
2610263,6292530,2,3,female,14,severe injury,9,3
2610268,6292533,1,1,male,51,severe injury,1,0
2610269,6292533,2,1,male,53,killed,1,1
2610272,6292535,1,1,male,30,killed,1,1
2610273,6292535,2,2,female,35,no injury,3,0
2610274,6292535,2,2,male,4,no injury,4,0
2610275,6292535,2,2,female,1,no injury,6,0
2610279,6292537,1,1,male,18,killed,1,1
2610281,6292539,1,1,male,29,killed,1,1
2610290,6292543,1,1,male,52,killed,1,1
2610291,6292543,2,1,male,24,complaint of pain,1,0
2610296,6292547,1,1,male,33,killed,9,3
2610310,6292553,1,1,male,16,other visible injury,1,0
2610311,6292553,2,1,male,44,killed,1,0
2610325,6292566,1,1,male,57,killed,1,0
2610333,6292572,1,1,male,70,killed,1,1
2610342,6292575,1,2,female,56,killed,2,1
2610343,6292575,1,1,male,60,severe injury,1,1
2610344,6292576,1,1,male,37,killed,1,1
2610367,6292588,1,1,male,22,other visible injury,1,1
2610368,6292588,2,1,male,41,killed,1,1
2610378,6292594,1,2,male,14,no injury,3,0
2610379,6292594,2,1,male,23,killed,1,0
2610385,6292597,1,1,male,49,killed,1,1
2610391,6292602,1,1,male,35,killed,1,1
2610417,6292618,1,1,male,22,killed,1,1
2610429,6292628,1,1,male,58,killed,1,1
2610430,6292628,3,1,male,42,other visible injury,1,1
2610431,6292629,2,1,male,27,killed,1,1
2610436,6292631,1,1,male,21,severe injury,9,1
2610437,6292631,2,3,male,49,killed,9,3
2610446,6292637,1,2,male,19,no injury,3,0
2610447,6292637,2,1,male,59,killed,1,1
2610485,6292654,1,1,male,51,killed,1,1
2610493,6292659,1,1,male,22,killed,1,1
2610495,6292661,1,1,male,67,killed,1,1
2610506,6292669,1,1,male,48,killed,1,1
2610507,6292669,2,2,female,67,no injury,3,0
2610512,6292672,1,1,male,64,killed,1,1
2610513,6292672,1,2,female,70,severe injury,0,1
2610515,6292674,1,1,female,38,killed,1,1
2610518,6292676,1,1,male,30,killed,1,1
2610519,6292677,1,1,male,22,killed,1,1
2610520,6292677,2,2,female,61,no injury,3,0
2610544,6292687,1,1,male,20,killed,1,1
2610545,6292688,1,1,male,37,killed,1,1
2610554,6292691,2,1,male,44,other visible injury,1,0
2610555,6292691,3,1,male,24,killed,1,1
2610573,6292700,1,1,male,29,killed,1,1
2610574,6292701,1,1,male,39,killed,1,1
2610577,6292703,1,1,female,52,killed,1,1
2610622,6292727,1,1,male,19,killed,1,1
2610623,6292727,2,1,male,20,complaint of pain,1,0
2610624,6292727,2,2,male,20,other visible injury,3,0
2610630,6292731,1,1,male,56,killed,1,1
2610639,6292737,1,1,male,22,killed,1,1
2610655,6292744,2,1,male,29,killed,1,1
2610697,6292773,1,1,male,62,other visible injury,1,0
2610698,6292773,2,1,male,21,killed,1,1
2610715,6292785,1,1,male,32,killed,1,1
2610723,6292790,1,1,male,25,killed,1,3
2610724,6292790,2,1,male,59,complaint of pain,1,3
2610743,6292799,1,2,female,29,no injury,6,0
2610744,6292799,2,1,male,41,killed,1,1
2610750,6292803,1,1,male,31,killed,1,1
2610751,6292804,1,1,male,31,killed,1,1
2610754,6292806,2,1,male,34,severe injury,1,0
2610755,6292806,2,2,male,42,complaint of pain,3,0
2610756,6292806,3,1,male,33,killed,1,0
2610757,6292806,4,2,male,33,no injury,3,0
2610758,6292806,5,1,male,30,complaint of pain,1,0
2610759,6292806,6,2,male,5,other visible injury,3,0
2610760,6292806,6,1,male,60,complaint of pain,1,0
2610776,6292816,2,1,male,22,killed,1,1
2610788,6292824,1,1,male,24,killed,1,1
2610797,6292829,1,1,male,21,killed,1,1
2610828,6292844,1,1,male,29,killed,1,1
2610829,6292844,2,2,male,19,complaint of pain,3,0
2610842,6292851,1,1,male,26,killed,1,1
2610846,6292855,2,1,male,27,killed,1,1
2610850,6292857,2,1,male,25,killed,1,1
2610851,6292858,1,1,male,42,killed,1,1
2610852,6292859,1,1,male,35,killed,1,1
2610853,6292859,2,2,female,70,no injury,3,0
2610854,6292860,1,1,male,46,other visible injury,1,0
2610855,6292860,2,1,male,59,killed,1,1
2610888,6292874,1,1,male,56,killed,1,3
2610908,6292888,1,2,male,54,other visible injury,4,0
2610909,6292888,1,2,male,47,no injury,3,0
2610910,6292888,1,2,female,48,no injury,6,0
2610911,6292888,2,1,male,29,killed,1,3
2610927,6292893,1,2,female,42,no injury,3,0
2610928,6292893,1,2,female,9,no injury,4,0
2610929,6292893,1,2,female,6,no injury,6,0
2610930,6292893,2,2,female,19,killed,2,1
2610931,6292893,2,1,male,25,severe injury,1,1
2610932,6292894,2,1,male,45,killed,1,1
2610969,6292914,1,1,female,59,complaint of pain,1,0
2610970,6292914,1,2,male,67,no injury,3,0
2610971,6292914,1,2,male,4,no injury,4,0
2610972,6292914,1,2,female,18,other visible injury,6,0
2610973,6292914,1,2,female,3,no injury,7,0
2610974,6292914,2,1,male,38,killed,1,1
2610975,6292915,2,1,male,25,killed,1,2
2610992,6292923,2,1,male,26,killed,1,1
2610996,6292926,1,1,female,36,other visible injury,1,0
2610997,6292926,2,1,male,29,killed,1,1
2611012,6292936,1,1,male,31,killed,1,1
2611017,6292941,1,2,male,58,severe injury,1,0
2611046,6292963,1,1,male,27,killed,1,1
2611047,6292964,1,5,male,33,killed,1,1
2611055,6292972,1,1,male,33,killed,1,1
2611058,6292974,1,1,male,53,killed,1,1
2611063,6292978,1,1,male,20,killed,1,1
2611064,6292978,2,1,female,22,complaint of pain,1,0
2611065,6292978,2,2,male,33,complaint of pain,6,0
2611066,6292978,2,2,male,22,no injury,3,0
2611067,6292978,2,2,female,11,no injury,5,0
2611068,6292978,2,2,male,,no injury,4,0
2611071,6292980,1,1,male,21,killed,1,1
2611073,6292982,1,1,male,57,killed,1,1
2611074,6292983,1,1,male,26,killed,1,1
2611090,6292995,1,2,female,6,no injury,4,0
2611091,6292995,1,2,male,12,no injury,6,0
2611092,6292995,2,1,male,36,killed,1,1
2611093,6292996,1,1,male,52,severe injury,1,1
2611094,6292996,1,2,female,48,killed,2,1
2611113,6293007,1,1,male,21,killed,1,1
2611115,6293009,1,1,male,24,killed,1,1
2611116,6293009,2,3,male,21,severe injury,9,3
2611117,6293009,3,2,female,93,complaint of pain,4,0
2611118,6293009,3,2,female,40,no injury,3,0
2611121,6293011,1,1,male,48,killed,1,1
2611122,6293011,2,2,male,35,no injury,3,0
2611123,6293011,2,2,male,12,no injury,6,0
2611133,6293016,1,2,male,16,no injury,3,0
2611134,6293016,1,2,female,17,no injury,6,0
2611135,6293016,1,2,female,17,no injury,5,0
2611136,6293016,1,2,female,17,no injury,4,0
2611137,6293016,1,2,male,17,no injury,7,0
2611138,6293016,1,2,female,17,no injury,8,0
2611139,6293016,2,1,male,50,killed,1,1
2611140,6293016,2,2,female,43,severe injury,2,1
2611141,6293016,3,2,male,20,no injury,3,0
2611142,6293016,3,2,female,20,no injury,6,0
2611144,6293018,1,1,male,54,killed,1,1
2611145,6293018,1,2,female,58,killed,2,1
2611146,6293018,2,1,female,61,complaint of pain,1,0
2611147,6293020,1,1,male,25,killed,1,1
2611148,6293020,2,1,female,48,other visible injury,1,0
2611149,6293020,2,2,male,11,other visible injury,4,0
2611150,6293020,2,2,female,48,complaint of pain,3,0
2611151,6293022,1,1,male,38,killed,1,1
2611179,6293038,2,1,male,43,killed,1,1
2611180,6293039,2,1,female,50,killed,1,1
2660939,6343599,2,1,male,23,complaint of pain,1,0
2663833,6346832,1,1,male,24,complaint of pain,1,1
2663839,6346848,2,1,male,42,other visible injury,1,3
2663842,6346864,1,1,male,39,complaint of pain,1,0
2663843,6346864,2,2,male,20,no injury,4,0
2663844,6346864,2,2,female,50,no injury,3,0
2663845,6346864,2,2,female,8,no injury,5,0
2663846,6346864,2,2,male,17,no injury,6,0
2664618,6347847,1,1,,34,other visible injury,9,3
2664619,6347848,1,2,female,,complaint of pain,9,3
2664631,6347853,1,1,male,40,other visible injury,1,3
2664704,6347894,2,1,male,30,complaint of pain,1,1
2664862,6348015,2,1,male,52,complaint of pain,1,1
2664889,6348029,2,1,male,33,complaint of pain,1,1
2664890,6348030,2,1,male,28,other visible injury,1,1
2664910,6348042,2,1,male,42,severe injury,1,2
2664961,6348070,1,1,male,56,other visible injury,1,1
2664962,6348070,2,2,female,24,no injury,3,0
2664963,6348070,2,2,male,2,no injury,6,0
2666227,6350089,2,1,male,27,complaint of pain,1,1
2666286,6350131,2,1,male,36,complaint of pain,1,0
2666288,6350135,2,1,male,24,severe injury,1,1
2666295,6350143,1,1,male,27,complaint of pain,9,3
2666318,6350157,1,1,male,35,other visible injury,1,3
2666319,6350157,2,3,female,59,complaint of pain,9,3
2666464,6350477,1,1,male,40,complaint of pain,1,1
2666465,6350477,1,2,female,32,other visible injury,2,1
2666466,6350477,2,2,female,19,no injury,3,0
2666521,6350580,2,1,male,25,severe injury,1,1
2666556,6350640,2,1,male,29,complaint of pain,1,0
2666557,6350640,2,2,female,31,complaint of pain,3,0
2666660,6350916,2,1,male,27,other visible injury,1,1
2666986,6351247,2,1,male,42,severe injury,1,1
2666990,6351249,1,2,female,19,complaint of pain,3,0
2666991,6351249,1,2,female,7,complaint of pain,6,0
2667014,6351261,1,1,male,53,severe injury,1,1
2667015,6351261,2,2,male,22,no injury,3,0
2667016,6351261,2,2,male,27,no injury,4,0
2667017,6351261,2,2,male,30,no injury,6,0
2667026,6351272,2,1,male,35,complaint of pain,1,3
2667336,6351892,2,1,male,52,complaint of pain,1,0
2668317,6352688,2,1,male,31,complaint of pain,1,0
2925569,6606373,1,1,male,21,killed,1,1
2925570,6606373,2,2,male,58,no injury,3,0
2925574,6606376,1,2,female,13,no injury,2,0
2925575,6606376,1,2,male,8,no injury,3,0
2925576,6606376,2,1,male,35,killed,1,0
2925577,6606377,1,1,male,42,killed,1,1
2925586,6606384,1,1,male,26,killed,1,1
2925587,6606384,2,1,female,85,killed,1,0
2925588,6606384,2,2,male,90,severe injury,3,0
2925595,6606389,1,1,male,59,killed,1,1
2925596,6606389,2,1,male,53,severe injury,1,1
2925601,6606391,1,1,female,39,complaint of pain,1,0
2925602,6606391,1,2,female,16,complaint of pain,3,0
2925603,6606391,1,2,female,9,no injury,6,0
2925604,6606391,1,2,female,11,no injury,4,0
2925605,6606391,2,1,male,18,killed,1,1
2925606,6606392,1,1,male,25,killed,1,1
2925608,6606396,1,1,male,54,killed,1,1
2999691,6678001,1,1,male,63,killed,1,1
2999692,6678001,2,2,female,36,no injury,3,0
2999699,6678007,1,1,male,21,killed,1,1
2999713,6678020,1,1,male,69,killed,1,0
2999714,6678020,1,2,female,68,severe injury,2,1
2999716,6678022,1,1,male,24,killed,1,0
2999723,6678027,1,1,female,49,complaint of pain,1,0
2999724,6678027,2,1,male,53,killed,1,2
2999725,6678027,3,1,male,38,other visible injury,1,0
2999754,6678042,1,1,male,65,killed,1,1
2999802,6678070,1,2,male,21,no injury,3,0
2999803,6678070,2,1,male,45,killed,1,1
2999809,6678075,1,1,male,46,killed,1,1
2999810,6678075,2,1,male,41,complaint of pain,1,0
2999811,6678075,2,2,male,31,no injury,3,0
2999826,6678084,2,1,female,46,killed,1,1
2999841,6678094,1,1,male,24,killed,1,3
2999843,6678096,1,1,male,20,killed,1,1
2999844,6678096,2,1,male,42,complaint of pain,1,0
2999845,6678099,1,1,female,29,killed,1,1
2999846,6678099,2,2,female,12,no injury,5,0
2999847,6678099,2,1,female,37,severe injury,1,0
2999848,6678099,2,2,female,64,other visible injury,3,0
2999849,6678099,2,2,male,65,no injury,6,0
2999850,6678099,2,2,male,9,no injury,4,0
2999853,6678101,1,1,male,24,killed,1,1
2999854,6678102,1,1,male,28,complaint of pain,1,3
2999855,6678102,2,1,male,21,complaint of pain,1,3
2999856,6678102,3,1,male,29,killed,1,0
2999859,6678104,1,1,male,27,killed,1,0
2999860,6678104,2,2,female,,no injury,3,0
2999861,6678104,2,1,female,82,complaint of pain,1,0
2999865,6678109,1,1,male,67,killed,1,1
2999870,6678115,1,3,male,57,killed,0,0
2999871,6678115,2,1,male,54,other visible injury,1,1
2999879,6678122,1,1,male,26,killed,1,1
2999886,6678128,1,1,male,32,killed,1,1
2999887,6678128,3,1,male,21,killed,1,1
2999888,6678128,3,2,female,20,killed,2,1
2999889,6678129,1,1,male,44,killed,1,1
2999898,6678136,2,1,male,48,killed,1,1
2999899,6678137,1,1,female,30,killed,1,1
2999900,6678137,2,2,female,45,no injury,3,0
2999901,6678137,2,2,female,16,no injury,6,0
2999903,6678139,1,1,male,36,killed,1,1
2999930,6678152,1,1,male,24,killed,1,1
2999931,6678152,2,2,female,23,no injury,3,0
2999932,6678153,1,2,female,17,complaint of pain,3,0
2999933,6678153,1,2,female,38,complaint of pain,6,0
2999934,6678153,1,2,male,10,no injury,4,0
2999935,6678153,2,1,male,41,killed,1,0
2999970,6678170,1,1,male,32,killed,1,0
3000028,6678203,2,1,male,44,killed,1,1
3000037,6678209,1,1,male,45,killed,1,0
3000038,6678209,2,2,male,21,no injury,3,0
3000039,6678209,3,2,male,6,no injury,6,0
3000040,6678209,3,2,male,2,no injury,4,0
3000045,6678212,2,1,male,49,killed,1,1
3000049,6678216,1,2,female,,severe injury,2,1
3000050,6678216,1,1,male,32,killed,1,1
3000051,6678216,2,2,female,26,complaint of pain,6,0
3000052,6678216,2,2,female,30,complaint of pain,3,0
3000053,6678216,2,1,male,29,killed,1,0
3000054,6678216,2,2,male,24,other visible injury,4,0
3000057,6678219,2,1,male,65,killed,1,1
3000058,6678220,2,1,male,24,killed,1,1
3000060,6678222,1,1,male,37,killed,1,1
3000061,6678222,2,1,male,70,complaint of pain,1,0
3000065,6678224,1,1,male,48,killed,1,1
3000077,6678229,1,2,male,25,no injury,2,0
3000078,6678229,2,1,male,27,killed,1,1
3000083,6678232,1,1,male,25,killed,1,1
3000084,6678232,2,1,male,66,other visible injury,1,0
3000240,6678322,1,1,male,31,killed,1,1
3000247,6678327,1,1,male,41,killed,1,1
3000258,6678335,2,1,male,20,killed,1,1
3000276,6678343,1,1,male,28,killed,1,1
3000277,6678343,2,1,female,32,severe injury,1,0
3000278,6678344,1,2,female,9,no injury,4,0
3000279,6678344,2,1,male,31,killed,1,1
3000285,6678347,1,1,male,25,killed,1,1
3000286,6678347,2,2,female,16,no injury,3,0
3000287,6678347,2,2,female,17,no injury,4,0
3000288,6678347,2,2,male,16,no injury,6,0
3000303,6678358,2,1,male,32,killed,1,1
3000304,6678359,1,2,female,15,no injury,3,0
3000305,6678359,1,1,male,17,complaint of pain,1,0
3000306,6678359,2,1,male,29,killed,1,1
3000311,6678363,1,1,male,63,killed,1,1
3000317,6678367,1,1,male,47,killed,1,3
3000319,6678370,1,1,male,23,killed,1,1
3000320,6678370,1,2,male,17,severe injury,0,0
3000321,6678370,2,1,female,50,complaint of pain,1,0
3000322,6678370,2,2,male,13,no injury,3,0
3000323,6678370,2,2,female,13,no injury,4,0
3000324,6678370,2,2,male,12,no injury,5,0
3000326,6678372,1,1,male,37,killed,1,0
3000359,6678394,1,1,male,68,killed,1,1
3000360,6678394,1,2,female,66,severe injury,0,1
3000361,6678395,1,2,male,19,no injury,3,0
3000362,6678395,1,2,male,17,no injury,4,0
3000363,6678395,1,2,male,18,no injury,5,0
3000364,6678395,1,2,male,16,no injury,6,0
3000365,6678395,1,2,male,17,no injury,0,0
3000366,6678395,2,1,male,63,killed,1,1
3008825,6688334,1,1,male,46,complaint of pain,1,3
3008826,6688334,2,2,male,33,no injury,3,0
3008892,6688373,1,2,male,27,no injury,0,0
3008893,6688373,1,2,male,22,no injury,0,0
3008894,6688373,1,2,male,34,no injury,0,0
3008895,6688373,1,2,male,38,no injury,0,0
3008896,6688373,1,2,male,37,no injury,0,0
3008897,6688373,1,2,male,25,no injury,0,0
3008898,6688373,1,2,male,38,no injury,0,0
3008899,6688373,1,2,male,27,no injury,0,0
3008900,6688373,1,2,male,31,no injury,0,0
3008901,6688373,1,2,male,37,no injury,0,0
3008902,6688373,1,2,male,37,no injury,0,0
3008903,6688373,1,1,male,24,severe injury,1,1
3008904,6688373,1,2,male,36,no injury,3,0
3039464,6718294,1,1,female,18,other visible injury,1,0
3039465,6718294,4,1,male,63,killed,1,1
3039466,6718294,4,2,female,66,severe injury,2,1
3039518,6718320,1,1,male,25,killed,1,1
3039528,6718327,2,1,male,23,killed,1,0
3039529,6718327,2,2,female,25,other visible injury,2,0
3039545,6718338,1,3,male,49,killed,9,3
3039546,6718338,2,1,male,31,other visible injury,1,1
3039550,6718342,1,1,male,44,killed,1,1
3039555,6718345,2,1,male,57,killed,1,2
3039579,6718359,1,1,male,44,killed,1,1
3039642,6718392,1,1,male,43,killed,1,1
3040005,6718528,2,1,male,47,killed,1,1
3040012,6718531,1,1,male,27,killed,1,1
3040013,6718532,2,2,female,29,killed,2,1
3040014,6718532,2,1,male,47,severe injury,1,1
3040025,6718538,1,1,male,23,killed,1,1
3040066,6718557,1,1,male,33,killed,1,0
3040067,6718557,2,2,female,14,no injury,3,0
3040091,6718570,1,1,male,54,killed,1,1
3040102,6718579,1,1,male,29,killed,1,1
3040103,6718579,2,1,female,51,complaint of pain,1,0
3040107,6718582,1,1,male,37,killed,1,1
3040108,6718582,2,1,female,74,complaint of pain,1,0
3040109,6718582,3,1,female,33,complaint of pain,1,0
3040110,6718582,3,2,female,71,complaint of pain,3,0
3040111,6718582,3,2,male,71,no injury,6,0
3040130,6718592,1,1,male,39,killed,1,1
3040131,6718593,1,1,male,34,killed,1,1
3040137,6718599,1,1,male,48,killed,1,1
3040150,6718605,1,1,male,42,killed,9,3
3040151,6718605,3,2,female,18,no injury,3,3
3040177,6718618,1,1,male,25,killed,1,1
3040178,6718618,2,1,male,26,other visible injury,1,0
3040234,6718646,1,1,male,39,killed,1,1
3040235,6718646,2,1,male,36,complaint of pain,1,0
3040253,6718658,2,1,male,29,killed,1,1
3040254,6718659,1,1,male,22,other visible injury,1,0
3040255,6718659,2,1,male,37,killed,1,1
3040293,6718684,1,1,male,57,killed,1,1
3040303,6718691,2,1,male,65,killed,1,1
3040314,6718696,1,1,male,41,killed,1,1
3040353,6718717,1,1,male,28,killed,1,1
3040374,6718732,1,1,male,27,killed,0,1
3040375,6718732,2,2,male,12,no injury,3,0
3040428,6718758,1,1,male,53,killed,1,1
3040429,6718758,2,1,male,83,severe injury,1,0
3040431,6718760,1,1,male,62,other visible injury,1,0
3040432,6718760,2,3,female,60,killed,9,3
3040439,6718764,1,1,female,40,killed,1,1
3040441,6718766,1,1,male,34,other visible injury,1,1
3040442,6718766,1,2,female,34,killed,2,1
3040468,6718785,1,1,male,26,killed,1,0
3061607,6740041,1,1,male,45,killed,1,1
3061629,6740057,1,1,male,23,killed,1,1
3061655,6740069,1,2,female,60,no injury,3,0
3061656,6740069,2,1,male,44,killed,1,1
3074059,6753240,1,1,male,28,other visible injury,1,1
3074067,6753246,1,1,male,58,other visible injury,1,0
3074243,6753386,2,1,male,55,complaint of pain,1,1
3075749,6754697,1,1,male,66,severe injury,1,1
3079073,6757816,2,2,female,10,no injury,2,0
3079074,6757816,2,2,female,7,no injury,5,0
3079075,6757816,2,2,male,2,no injury,4,0
3079076,6757816,2,2,male,1,complaint of pain,5,0
3086682,6766012,2,1,male,54,complaint of pain,1,0
3086785,6766124,2,1,male,21,complaint of pain,1,0
3089649,6768881,2,1,male,36,complaint of pain,1,0
3089666,6768890,1,1,male,53,severe injury,1,0
3089667,6768891,1,1,male,54,other visible injury,1,0
3089673,6768894,1,1,male,44,other visible injury,1,1
3089690,6768902,1,1,male,26,other visible injury,1,1
3089742,6768931,2,1,male,65,complaint of pain,1,1
3089746,6768935,1,2,female,32,complaint of pain,2,1
3089747,6768935,1,1,male,35,complaint of pain,1,1
3089748,6768936,1,1,male,23,other visible injury,1,1
3089749,6768936,2,1,female,42,complaint of pain,1,0
3089750,6768936,2,2,female,34,complaint of pain,3,0
3089776,6768955,2,1,male,42,other visible injury,1,0
3089778,6768957,2,1,male,40,complaint of pain,1,2
3089821,6768983,1,1,male,33,other visible injury,1,0
3089822,6768984,1,1,male,29,other visible injury,1,1
3089855,6768999,1,1,male,41,complaint of pain,1,1
3089856,6769000,1,2,female,42,complaint of pain,0,0
3089865,6769006,2,1,male,38,complaint of pain,1,0
3089873,6769012,1,1,male,57,other visible injury,1,1
3089877,6769016,1,1,female,60,complaint of pain,1,0
3089958,6769053,1,1,male,55,complaint of pain,1,1
3089959,6769053,2,2,female,22,no injury,3,0
3089962,6769056,2,1,male,59,complaint of pain,1,1
3089967,6769059,1,1,male,22,severe injury,1,1
3089976,6769064,1,1,male,28,severe injury,1,0
3089983,6769070,1,1,female,26,other visible injury,1,1
3090008,6769081,1,1,female,39,severe injury,1,1
3090009,6769081,2,2,female,13,no injury,3,0
3090011,6769083,1,1,male,49,other visible injury,1,1
3090023,6769091,1,1,male,33,other visible injury,1,0
3090034,6769098,1,1,male,34,complaint of pain,1,0
3090040,6769102,1,1,female,18,complaint of pain,1,0
3090041,6769102,2,1,male,50,complaint of pain,1,0
3090042,6769103,4,3,male,25,other visible injury,0,1
3090045,6769106,2,1,male,28,other visible injury,1,1
3090074,6769119,1,1,male,21,complaint of pain,1,0
3090075,6769119,2,2,male,40,no injury,2,0
3090140,6769199,1,2,male,40,no injury,3,0
3090141,6769199,1,2,female,45,no injury,6,0
3090214,6769369,2,1,male,25,other visible injury,1,1
3090307,6769442,1,1,male,22,complaint of pain,1,1
3090321,6769449,1,1,male,56,other visible injury,1,1
3090329,6769454,1,1,male,38,other visible injury,1,0
3090333,6769457,1,1,male,27,other visible injury,1,0
3090450,6769518,1,1,male,22,other visible injury,1,1
3093483,6772467,2,1,male,66,complaint of pain,1,0
3095415,6774496,1,1,male,55,severe injury,1,1
3095416,6774497,1,1,male,57,complaint of pain,1,1
3095422,6774501,1,1,male,46,complaint of pain,1,1
3095425,6774504,2,1,male,31,complaint of pain,1,1
3095438,6774510,2,1,male,40,other visible injury,1,3
3096033,6775003,1,1,male,41,complaint of pain,1,1
3096061,6775019,1,1,male,74,other visible injury,1,1
3096070,6775026,1,1,male,51,other visible injury,1,0
3097298,6776203,1,1,male,39,complaint of pain,1,1
3097410,6776277,1,1,male,30,other visible injury,1,1
3098514,6777420,1,1,male,35,severe injury,1,1
3098569,6777482,2,1,male,20,complaint of pain,1,0
3098594,6777497,1,1,male,22,complaint of pain,1,1
3098600,6777501,1,1,male,52,complaint of pain,1,1
3098601,6777502,1,1,male,42,complaint of pain,1,1
3098603,6777504,1,1,male,31,other visible injury,1,1
3098604,6777504,2,2,female,23,no injury,3,0
3098605,6777504,2,2,female,3,no injury,5,0
3098606,6777505,1,1,male,25,other visible injury,1,1
3098708,6777612,1,2,female,45,no injury,3,0
3099016,6777914,2,1,female,24,complaint of pain,1,3
3099043,6777966,1,1,male,57,other visible injury,1,1
3099044,6777966,2,2,male,29,no injury,3,0
3099067,6777983,2,1,male,26,other visible injury,1,1
3099078,6777992,2,1,male,77,severe injury,1,1
3099080,6777994,1,1,male,59,complaint of pain,1,1
3099087,6777998,1,1,female,23,complaint of pain,1,1
3099088,6777998,2,2,female,51,no injury,3,0
3099310,6778300,1,2,female,23,no injury,3,0
3099311,6778300,3,2,male,31,complaint of pain,6,0
3099312,6778300,3,2,male,31,complaint of pain,3,0
3099313,6778300,3,2,male,7,no injury,4,0
3099537,6778471,1,1,male,33,other visible injury,1,0
3099538,6778471,2,2,female,97,no injury,3,0
3099558,6778485,1,1,male,63,severe injury,1,1
3099559,6778485,1,2,female,50,other visible injury,2,1
3099627,6778522,1,2,female,0,no injury,6,0
3099958,6778917,1,1,male,40,other visible injury,1,1
3100021,6778973,2,1,male,32,complaint of pain,1,0
